order_item_id,order_id,product_id,quantity,unit_price,line_amount
1,1,44,3,23.01,69.03
2,1,104,1,331.63,331.63
3,1,127,1,316.52,316.52
4,2,23,2,362.94,725.88
5,2,68,2,365.26,730.52
6,2,146,2,321.23,642.46
7,3,175,1,458.04,458.04
8,3,163,3,144.22,432.66
9,3,4,2,347.29,694.58
10,4,126,2,306.81,613.62
11,4,5,2,119.48,238.96
12,4,119,3,145.05,435.15
13,4,3,1,332.22,332.22
14,5,75,3,89.7,269.1
15,6,119,1,146.28,146.28
16,7,71,1,217.22,217.22
17,7,134,1,61.7,61.7
18,7,34,3,248.3,744.9
19,8,175,1,446.35,446.35
20,9,156,3,283.89,851.67
21,9,87,3,168.59,505.77
22,9,11,2,213.77,427.54
23,9,149,2,403.99,807.98
24,10,161,1,242.5,242.5
25,11,137,2,233.18,466.36
26,12,65,1,293.58,293.58
27,13,182,3,164.55,493.65
28,13,113,2,128.02,256.04
29,13,19,2,355.36,710.72
30,14,91,2,445.29,890.58
31,14,111,2,372.67,745.34
32,14,174,1,160.86,160.86
33,15,41,1,500.02,500.02
34,15,159,2,312.28,624.56
35,15,7,3,395.69,1187.07
36,16,59,1,45.53,45.53
37,16,103,1,324.13,324.13
38,16,157,3,292.63,877.89
39,17,61,3,304.67,914.01
40,18,145,1,122.34,122.34
41,18,195,3,300.33,900.99
42,18,33,2,280.6,561.2
43,18,143,1,427.97,427.97
44,19,67,1,156.28,156.28
45,19,90,3,276.28,828.84
46,19,98,3,344.64,1033.92
47,20,98,3,332.67,998.01
48,20,21,2,357.32,714.64
49,20,96,3,80.8,242.4
50,20,151,2,151.48,302.96
51,21,145,2,123.94,247.88
52,21,67,3,146.26,438.78
53,22,79,1,103.79,103.79
54,22,93,2,463.63,927.26
55,22,86,1,487.14,487.14
56,23,50,1,114.12,114.12
57,23,124,2,366.75,733.5
58,24,198,2,50.74,101.48
59,24,27,1,66.47,66.47
60,24,34,1,273.69,273.69
61,24,9,3,503.49,1510.47
62,25,96,3,80.99,242.97
63,25,34,2,252.09,504.18
64,25,109,2,50.26,100.52
65,25,186,3,268.25,804.75
66,26,19,3,377.2,1131.6
67,27,111,2,348.47,696.94
68,27,169,2,184.66,369.32
69,27,123,3,436.84,1310.52
70,27,197,3,261.57,784.71
71,28,41,1,498.51,498.51
72,29,180,2,220.53,441.06
73,29,174,1,165.5,165.5
74,29,124,3,367.98,1103.94
75,30,63,2,154.87,309.74
76,31,152,3,191.3,573.9
77,32,79,1,123.54,123.54
78,32,88,1,404.92,404.92
79,32,105,3,423.09,1269.27
80,32,87,3,144.61,433.83
81,33,155,1,92.69,92.69
82,33,165,1,56.38,56.38
83,33,86,2,478.57,957.14
84,34,46,2,330.32,660.64
85,34,79,1,122.89,122.89
86,35,38,3,366.19,1098.57
87,35,26,1,240.07,240.07
88,35,56,1,464.55,464.55
89,36,2,1,476.31,476.31
90,36,133,2,370.42,740.84
91,37,195,2,286.61,573.22
92,37,121,1,364.09,364.09
93,37,141,1,346.01,346.01
94,37,34,2,272.51,545.02
95,38,37,2,237.55,475.1
96,39,96,1,89.58,89.58
97,40,194,2,329.07,658.14
98,40,20,2,80.3,160.6
99,41,188,3,378.47,1135.41
100,42,117,1,184.1,184.1
101,43,52,3,413.86,1241.58
102,43,150,3,237.38,712.14
103,43,177,1,402.66,402.66
104,44,60,2,338.32,676.64
105,44,180,1,239.42,239.42
106,44,54,2,364.96,729.92
107,44,72,3,308.63,925.89
108,45,1,1,238.4,238.4
109,45,118,3,205.44,616.32
110,46,10,3,252.0,756.0
111,46,114,2,219.04,438.08
112,47,171,2,179.65,359.3
113,47,95,1,82.14,82.14
114,48,80,2,334.38,668.76
115,48,179,3,73.75,221.25
116,49,147,1,214.75,214.75
117,49,131,2,450.27,900.54
118,49,81,2,12.34,24.68
119,50,31,3,213.26,639.78
120,50,49,3,284.26,852.78
121,50,126,1,356.63,356.63
122,50,87,2,163.93,327.86
123,51,161,1,239.56,239.56
124,51,112,3,83.87,251.61
125,51,183,2,443.5,887.0
126,51,65,2,289.68,579.36
127,52,112,2,87.14,174.28
128,52,107,1,364.18,364.18
129,52,121,3,329.38,988.14
130,53,84,2,259.8,519.6
131,54,145,3,110.44,331.32
132,54,56,3,434.84,1304.52
133,55,162,1,269.15,269.15
134,55,146,1,350.35,350.35
135,56,188,2,425.43,850.86
136,57,175,1,478.22,478.22
137,58,145,3,117.27,351.81
138,58,54,3,372.64,1117.92
139,58,43,1,88.51,88.51
140,59,112,3,84.47,253.41
141,59,59,1,40.04,40.04
142,59,149,1,421.2,421.2
143,60,136,2,201.27,402.54
144,61,43,2,78.54,157.08
145,62,169,1,160.99,160.99
146,62,184,3,368.84,1106.52
147,63,175,2,510.93,1021.86
148,63,109,1,45.15,45.15
149,63,35,3,153.1,459.3
150,63,197,3,237.37,712.11
151,64,198,3,57.26,171.78
152,65,26,3,280.65,841.95
153,65,196,1,372.48,372.48
154,66,88,3,344.68,1034.04
155,66,115,2,468.51,937.02
156,66,139,1,71.59,71.59
157,67,103,1,363.03,363.03
158,67,80,3,320.2,960.6
159,67,116,2,110.1,220.2
160,67,25,3,382.62,1147.86
161,68,5,2,126.25,252.5
162,68,135,3,241.29,723.87
163,68,194,1,358.83,358.83
164,68,107,1,374.03,374.03
165,69,122,2,168.41,336.82
166,69,100,3,459.56,1378.68
167,70,169,1,179.71,179.71
168,70,23,1,402.5,402.5
169,71,159,2,318.87,637.74
170,71,68,2,404.27,808.54
171,71,23,3,394.68,1184.04
172,71,38,1,361.29,361.29
173,72,112,2,94.89,189.78
174,72,85,1,393.94,393.94
175,72,197,3,246.23,738.69
176,73,73,3,162.08,486.24
177,74,147,1,219.43,219.43
178,74,135,3,260.91,782.73
179,74,86,3,514.27,1542.81
180,74,174,3,151.38,454.14
181,75,115,3,432.47,1297.41
182,76,4,3,340.84,1022.52
183,76,44,1,19.68,19.68
184,77,10,2,264.29,528.58
185,78,37,2,204.75,409.5
186,78,199,1,382.86,382.86
187,78,148,2,111.56,223.12
188,78,114,3,203.68,611.04
189,79,165,3,56.96,170.88
190,79,102,2,280.05,560.1
191,79,152,1,187.95,187.95
192,80,140,2,261.0,522.0
193,80,162,2,268.0,536.0
194,80,69,3,175.77,527.31
195,81,45,3,132.31,396.93
196,81,142,1,59.71,59.71
197,82,41,1,537.63,537.63
198,82,128,1,476.76,476.76
199,83,55,1,154.6,154.6
200,83,185,2,229.63,459.26
201,84,160,3,102.79,308.37
202,84,43,1,79.25,79.25
203,84,18,1,318.42,318.42
204,84,95,2,73.07,146.14
205,85,157,3,336.63,1009.89
206,85,194,2,357.65,715.3
207,85,84,3,273.0,819.0
208,85,100,1,486.5,486.5
209,86,195,1,285.72,285.72
210,87,152,3,180.31,540.93
211,87,28,2,261.46,522.92
212,87,34,3,278.6,835.8
213,88,57,1,420.38,420.38
214,88,46,3,279.63,838.89
215,88,1,1,237.67,237.67
216,88,63,1,149.6,149.6
217,89,37,3,240.98,722.94
218,90,178,3,375.71,1127.13
219,90,128,1,501.36,501.36
220,90,89,2,253.8,507.6
221,90,83,3,405.43,1216.29
222,91,141,1,376.72,376.72
223,91,87,1,167.47,167.47
224,91,143,3,427.78,1283.34
225,92,118,2,217.73,435.46
226,92,151,2,166.08,332.16
227,93,174,2,176.95,353.9
228,93,95,3,74.02,222.06
229,93,49,2,273.56,547.12
230,93,7,3,424.77,1274.31
231,94,104,1,389.01,389.01
232,94,102,1,261.79,261.79
233,95,142,3,59.62,178.86
234,95,53,1,30.53,30.53
235,95,2,2,489.34,978.68
236,96,163,2,135.63,271.26
237,97,172,1,340.72,340.72
238,97,130,3,376.83,1130.49
239,97,108,3,207.06,621.18
240,98,191,2,56.29,112.58
241,99,133,3,357.41,1072.23
242,99,47,1,24.42,24.42
243,99,129,1,472.57,472.57
244,99,199,3,360.96,1082.88
245,100,35,2,156.94,313.88
246,100,23,1,341.82,341.82
247,101,86,1,514.2,514.2
248,102,53,3,25.48,76.44
249,102,175,3,509.62,1528.86
250,102,165,2,65.9,131.8
251,103,158,2,87.89,175.78
252,103,192,3,443.62,1330.86
253,104,17,1,207.54,207.54
254,105,194,1,330.19,330.19
255,105,73,1,164.36,164.36
256,106,184,2,372.77,745.54
257,106,137,3,270.02,810.06
258,107,85,2,413.48,826.96
259,108,93,2,469.48,938.96
260,109,152,2,162.62,325.24
261,110,50,3,112.16,336.48
262,111,159,1,329.6,329.6
263,111,168,1,387.32,387.32
264,111,6,2,404.72,809.44
265,112,84,3,287.99,863.97
266,112,182,1,175.27,175.27
267,113,85,2,425.35,850.7
268,113,14,1,87.81,87.81
269,114,112,2,95.76,191.52
270,114,61,1,333.64,333.64
271,114,52,2,474.26,948.52
272,115,25,3,371.7,1115.1
273,115,133,3,341.92,1025.76
274,115,96,3,88.61,265.83
275,116,10,2,246.32,492.64
276,116,157,3,301.08,903.24
277,117,94,1,90.82,90.82
278,117,173,3,290.15,870.45
279,117,182,3,176.84,530.52
280,117,79,1,113.57,113.57
281,118,71,2,201.57,403.14
282,118,59,1,44.29,44.29
283,119,129,2,470.15,940.3
284,119,37,2,229.93,459.86
285,120,88,3,350.86,1052.58
286,121,3,2,316.21,632.42
287,121,43,3,88.38,265.14
288,121,114,1,231.09,231.09
289,122,44,1,22.01,22.01
290,122,127,2,351.51,703.02
291,122,147,2,231.8,463.6
292,123,195,2,312.22,624.44
293,123,109,3,47.76,143.28
294,123,129,3,452.99,1358.97
295,123,67,1,172.52,172.52
296,124,137,2,248.98,497.96
297,124,29,2,372.78,745.56
298,125,159,1,337.93,337.93
299,125,8,3,479.84,1439.52
300,125,44,3,19.69,59.07
301,125,139,3,78.91,236.73
302,126,177,1,475.03,475.03
303,126,91,2,474.16,948.32
304,127,94,2,87.5,175.0
305,127,125,1,112.23,112.23
306,128,47,2,24.64,49.28
307,128,83,1,436.67,436.67
308,129,25,3,386.35,1159.05
309,129,193,2,328.28,656.56
310,129,67,1,152.77,152.77
311,129,42,2,270.98,541.96
312,130,186,2,310.37,620.74
313,130,58,3,67.71,203.13
314,130,128,1,484.26,484.26
315,130,179,2,79.34,158.68
316,131,109,2,52.52,105.04
317,131,89,3,258.56,775.68
318,132,144,3,95.74,287.22
319,132,19,3,315.0,945.0
320,132,94,3,87.74,263.22
321,132,133,1,331.44,331.44
322,133,136,3,199.76,599.28
323,133,1,1,245.79,245.79
324,133,164,1,391.47,391.47
325,134,58,2,70.46,140.92
326,135,105,2,365.58,731.16
327,135,175,2,465.65,931.3
328,135,50,2,110.89,221.78
329,136,49,3,309.57,928.71
330,136,44,2,22.23,44.46
331,136,108,2,235.63,471.26
332,136,182,1,172.22,172.22
333,137,4,3,325.17,975.51
334,137,44,3,20.76,62.28
335,137,87,2,158.21,316.42
336,137,34,3,267.52,802.56
337,138,83,2,387.84,775.68
338,139,162,2,247.01,494.02
339,140,190,1,481.15,481.15
340,140,91,2,450.76,901.52
341,140,144,2,98.12,196.24
342,140,99,1,205.88,205.88
343,141,189,1,224.11,224.11
344,141,159,3,325.8,977.4
345,141,71,2,208.94,417.88
346,142,78,2,410.84,821.68
347,142,11,3,245.49,736.47
348,142,33,2,286.93,573.86
349,142,133,3,326.47,979.41
350,143,146,2,309.14,618.28
351,144,113,2,132.28,264.56
352,144,5,1,122.25,122.25
353,144,122,2,174.02,348.04
354,145,68,1,372.3,372.3
355,145,47,1,27.62,27.62
356,145,23,2,404.59,809.18
357,145,144,2,99.97,199.94
358,146,195,3,296.38,889.14
359,146,142,1,59.82,59.82
360,147,39,3,471.93,1415.79
361,148,104,3,392.38,1177.14
362,149,92,3,466.49,1399.47
363,150,109,2,51.55,103.1
364,150,6,3,475.54,1426.62
365,150,51,2,229.22,458.44
366,150,199,1,393.36,393.36
367,151,165,1,63.41,63.41
368,151,139,1,73.24,73.24
369,151,146,2,311.55,623.1
370,152,75,2,88.82,177.64
371,152,199,1,395.98,395.98
372,152,184,1,413.08,413.08
373,152,51,2,188.95,377.9
374,153,5,3,111.07,333.21
375,153,113,2,136.82,273.64
376,154,26,1,276.21,276.21
377,154,60,1,331.94,331.94
378,154,61,2,318.35,636.7
379,155,158,2,88.33,176.66
380,155,114,2,231.8,463.6
381,155,170,1,376.72,376.72
382,155,160,2,98.47,196.94
383,156,41,1,492.51,492.51
384,156,126,1,349.82,349.82
385,156,198,2,54.99,109.98
386,156,135,3,280.25,840.75
387,157,169,2,179.73,359.46
388,158,23,3,365.32,1095.96
389,158,57,2,480.77,961.54
390,158,199,2,401.4,802.8
391,159,42,3,272.87,818.61
392,160,152,1,186.13,186.13
393,160,117,2,171.36,342.72
394,160,113,2,151.36,302.72
395,161,145,1,110.12,110.12
396,161,35,1,138.62,138.62
397,161,103,1,336.73,336.73
398,161,163,1,160.5,160.5
399,162,148,1,105.11,105.11
400,162,111,3,347.71,1043.13
401,162,96,2,87.64,175.28
402,162,200,3,81.54,244.62
403,163,136,2,179.73,359.46
404,163,145,2,119.65,239.3
405,163,144,2,87.45,174.9
406,164,43,1,82.32,82.32
407,164,49,2,305.43,610.86
408,164,109,3,46.12,138.36
409,164,79,1,110.63,110.63
410,165,114,1,218.52,218.52
411,165,112,1,90.89,90.89
412,165,52,3,501.75,1505.25
413,165,170,3,394.43,1183.29
414,166,6,1,447.83,447.83
415,166,89,2,249.49,498.98
416,166,164,2,354.1,708.2
417,166,68,3,433.25,1299.75
418,167,149,2,390.26,780.52
419,167,138,1,141.42,141.42
420,167,53,3,30.59,91.77
421,167,44,2,19.41,38.82
422,168,8,1,445.8,445.8
423,169,67,1,167.03,167.03
424,169,183,2,486.23,972.46
425,169,162,1,261.91,261.91
426,169,121,2,374.97,749.94
427,170,67,3,172.25,516.75
428,170,126,1,354.93,354.93
429,171,141,2,381.92,763.84
430,171,128,3,499.1,1497.3
431,171,105,3,414.77,1244.31
432,171,19,3,381.96,1145.88
433,172,119,2,163.8,327.6
434,173,80,2,357.04,714.08
435,174,99,2,230.95,461.9
436,175,116,2,107.05,214.1
437,175,33,3,306.03,918.09
438,175,28,1,282.67,282.67
439,175,39,2,423.33,846.66
440,176,38,1,326.8,326.8
441,176,67,2,162.15,324.3
442,176,131,1,453.81,453.81
443,177,200,2,78.57,157.14
444,177,67,2,166.73,333.46
445,177,71,3,201.45,604.35
446,177,93,2,471.91,943.82
447,178,39,2,389.99,779.98
448,178,141,2,354.35,708.7
449,179,84,3,271.65,814.95
450,179,191,2,53.38,106.76
451,179,43,3,78.43,235.29
452,180,39,2,461.79,923.58
453,180,163,2,153.67,307.34
454,181,58,3,68.57,205.71
455,182,71,2,221.06,442.12
456,183,130,3,369.13,1107.39
457,183,166,3,263.16,789.48
458,183,46,2,293.56,587.12
459,183,94,2,96.56,193.12
460,184,47,3,29.3,87.9
461,184,131,2,432.44,864.88
462,184,104,1,338.25,338.25
463,184,4,2,331.78,663.56
464,185,174,1,160.47,160.47
465,186,153,3,382.68,1148.04
466,186,171,3,167.94,503.82
467,186,4,3,294.38,883.14
468,186,199,3,356.74,1070.22
469,187,137,3,276.06,828.18
470,187,18,3,295.53,886.59
471,187,74,1,406.02,406.02
472,188,122,3,167.07,501.21
473,189,70,1,13.52,13.52
474,189,197,3,258.73,776.19
475,190,184,2,373.13,746.26
476,190,191,3,48.8,146.4
477,191,25,3,407.39,1222.17
478,191,198,1,60.64,60.64
479,191,52,1,458.29,458.29
480,192,57,1,434.36,434.36
481,193,126,2,357.73,715.46
482,193,27,1,56.86,56.86
483,193,145,1,118.38,118.38
484,193,14,2,86.31,172.62
485,194,161,2,253.48,506.96
486,194,132,3,178.19,534.57
487,195,192,2,477.48,954.96
488,196,158,3,92.08,276.24
489,196,170,1,369.63,369.63
490,197,161,1,241.44,241.44
491,197,74,2,372.15,744.3
492,197,134,3,55.14,165.42
493,197,169,3,168.64,505.92
494,198,181,2,385.62,771.24
495,198,151,1,175.42,175.42
496,198,136,1,189.72,189.72
497,199,138,1,141.52,141.52
498,199,128,2,512.54,1025.08
499,199,134,1,62.33,62.33
500,200,93,1,434.78,434.78
501,200,171,1,187.95,187.95
502,200,183,1,467.46,467.46
503,200,145,2,115.46,230.92
504,201,28,1,274.49,274.49
505,201,183,1,469.07,469.07
506,201,82,1,281.29,281.29
507,201,164,1,419.06,419.06
508,202,89,2,248.01,496.02
509,202,140,2,277.66,555.32
510,203,62,2,354.14,708.28
511,203,72,2,277.5,555.0
512,203,128,2,528.02,1056.04
513,204,123,3,456.44,1369.32
514,204,84,2,238.41,476.82
515,204,115,2,430.38,860.76
516,205,96,2,77.2,154.4
517,205,173,3,270.09,810.27
518,205,37,3,236.87,710.61
519,205,124,2,410.57,821.14
520,206,88,2,403.16,806.32
521,207,150,1,245.26,245.26
522,207,151,3,160.23,480.69
523,207,197,2,222.47,444.94
524,208,44,3,20.86,62.58
525,208,89,3,245.09,735.27
526,209,176,2,74.83,149.66
527,210,68,2,366.92,733.84
528,210,77,1,486.08,486.08
529,210,163,2,150.71,301.42
530,210,158,2,95.02,190.04
531,211,128,1,533.13,533.13
532,212,89,3,236.47,709.41
533,213,41,2,496.6,993.2
534,213,158,3,80.38,241.14
535,214,89,3,253.27,759.81
536,214,154,2,341.52,683.04
537,215,184,1,428.43,428.43
538,215,6,3,460.39,1381.17
539,215,37,2,247.79,495.58
540,216,122,1,160.36,160.36
541,216,199,1,384.82,384.82
542,216,58,2,67.08,134.16
543,217,70,1,12.09,12.09
544,217,162,3,242.5,727.5
545,217,199,2,411.6,823.2
546,218,143,1,434.14,434.14
547,219,5,1,130.98,130.98
548,219,152,2,187.5,375.0
549,219,118,2,208.68,417.36
550,220,170,1,394.02,394.02
551,220,18,3,309.78,929.34
552,220,196,3,325.44,976.32
553,221,154,2,345.12,690.24
554,222,200,3,74.66,223.98
555,222,19,2,345.53,691.06
556,223,174,1,154.69,154.69
557,223,90,3,244.34,733.02
558,224,6,1,452.64,452.64
