order_id,customer_id,order_date,order_status,currency,total_amount
1,666,2026-03-31 14:31:27.453309,created,USD,717.18
2,360,2026-03-31 14:38:32.581718,paid,USD,2098.86
3,644,2026-03-31 14:37:30.175934,paid,USD,1585.28
4,942,2026-03-31 14:29:42.716319,paid,USD,1619.95
5,704,2026-03-31 14:23:44.143961,paid,USD,269.1
6,223,2026-03-31 14:25:49.231050,paid,USD,146.28
7,103,2026-03-31 14:23:22.744611,created,USD,1023.82
8,127,2026-03-31 14:37:42.746615,paid,USD,446.35
9,394,2026-03-31 14:40:11.134268,paid,USD,2592.96
10,440,2026-03-31 14:24:43.560472,paid,USD,242.5
11,144,2026-03-31 14:28:51.988938,paid,USD,466.36
12,661,2026-03-31 14:40:52.500518,paid,USD,293.58
13,567,2026-03-31 14:26:09.470656,created,USD,1460.41
14,739,2026-03-31 14:24:18.385795,paid,USD,1796.78
15,798,2026-03-31 14:36:51.927776,paid,USD,2311.65
16,28,2026-03-31 14:35:04.990266,cancelled,USD,1247.55
17,675,2026-03-31 14:34:44.783015,paid,USD,914.01
18,211,2026-03-31 14:39:26.712022,paid,USD,2012.5
19,522,2026-03-31 14:24:14.434616,paid,USD,2019.04
20,402,2026-03-31 14:34:34.136167,paid,USD,2258.01
21,56,2026-03-31 14:36:02.439078,paid,USD,686.66
22,813,2026-03-31 14:35:05.190562,paid,USD,1518.19
23,507,2026-03-31 14:32:33.360632,cancelled,USD,847.62
24,247,2026-03-31 14:28:31.382379,paid,USD,1952.11
25,609,2026-03-31 14:30:26.163043,paid,USD,1652.42
26,911,2026-03-31 14:35:27.340310,created,USD,1131.6
27,370,2026-03-31 14:33:09.899262,cancelled,USD,3161.49
28,136,2026-03-31 14:28:40.668865,cancelled,USD,498.51
29,860,2026-03-31 14:36:34.113302,paid,USD,1710.5
30,375,2026-03-31 14:39:33.969321,paid,USD,309.74
31,177,2026-03-31 14:23:20.534412,paid,USD,573.9
32,978,2026-03-31 14:28:14.163204,paid,USD,2231.56
33,75,2026-03-31 14:32:42.015074,cancelled,USD,1106.21
34,70,2026-03-31 14:39:46.086639,created,USD,783.53
35,221,2026-03-31 14:35:48.318669,created,USD,1803.19
36,62,2026-03-31 14:31:13.884175,created,USD,1217.15
37,408,2026-03-31 14:26:53.544257,cancelled,USD,1828.34
38,644,2026-03-31 14:32:59.979314,paid,USD,475.1
39,786,2026-03-31 14:37:23.408905,paid,USD,89.58
40,719,2026-03-31 14:34:56.200054,paid,USD,818.74
41,656,2026-03-31 14:35:45.268643,paid,USD,1135.41
42,631,2026-03-31 14:39:10.688888,paid,USD,184.1
43,86,2026-03-31 14:37:16.088140,paid,USD,2356.38
44,524,2026-03-31 14:30:28.866162,paid,USD,2571.87
45,998,2026-03-31 14:26:45.079415,cancelled,USD,854.72
46,550,2026-03-31 14:28:37.653925,paid,USD,1194.08
47,601,2026-03-31 14:23:51.927786,paid,USD,441.44
48,855,2026-03-31 14:29:13.252359,paid,USD,890.01
49,659,2026-03-31 14:36:15.106577,paid,USD,1139.97
50,716,2026-03-31 14:36:31.256400,created,USD,2177.05
51,977,2026-03-31 14:25:28.086098,paid,USD,1957.53
52,60,2026-03-31 14:41:03.277887,paid,USD,1526.6
53,947,2026-03-31 14:28:18.642088,paid,USD,519.6
54,465,2026-03-31 14:24:52.245133,paid,USD,1635.84
55,57,2026-03-31 14:33:07.928720,paid,USD,619.5
56,760,2026-03-31 14:32:35.042734,paid,USD,850.86
57,180,2026-03-31 14:36:49.610030,paid,USD,478.22
58,725,2026-03-31 14:26:04.829527,paid,USD,1558.24
59,12,2026-03-31 14:23:42.122523,paid,USD,714.65
60,976,2026-03-31 14:37:32.326595,paid,USD,402.54
61,530,2026-03-31 14:33:51.903890,paid,USD,157.08
62,739,2026-03-31 14:27:32.646961,paid,USD,1267.51
63,381,2026-03-31 14:37:08.090410,paid,USD,2238.42
64,800,2026-03-31 14:36:16.629986,paid,USD,171.78
65,751,2026-03-31 14:40:57.911076,paid,USD,1214.43
66,790,2026-03-31 14:25:11.277259,paid,USD,2042.65
67,344,2026-03-31 14:24:16.741398,paid,USD,2691.69
68,279,2026-03-31 14:29:54.817178,paid,USD,1709.23
69,270,2026-03-31 14:34:29.148695,paid,USD,1715.5
70,591,2026-03-31 14:29:34.831213,paid,USD,582.21
71,509,2026-03-31 14:24:03.551503,paid,USD,2991.61
72,369,2026-03-31 14:34:55.039413,paid,USD,1322.41
73,880,2026-03-31 14:25:26.729790,created,USD,486.24
74,377,2026-03-31 14:28:33.798002,paid,USD,2999.11
75,792,2026-03-31 14:36:27.807391,paid,USD,1297.41
76,588,2026-03-31 14:31:21.398933,paid,USD,1042.2
77,119,2026-03-31 14:40:53.586607,paid,USD,528.58
78,522,2026-03-31 14:37:41.818567,paid,USD,1626.52
79,880,2026-03-31 14:41:00.120085,created,USD,918.93
80,251,2026-03-31 14:33:22.845005,paid,USD,1585.31
81,373,2026-03-31 14:39:17.886010,created,USD,456.64
82,154,2026-03-31 14:34:29.963900,paid,USD,1014.39
83,984,2026-03-31 14:32:47.951749,paid,USD,613.86
84,567,2026-03-31 14:33:55.192828,paid,USD,852.18
85,732,2026-03-31 14:29:30.364106,paid,USD,3030.69
86,430,2026-03-31 14:28:19.298335,paid,USD,285.72
87,255,2026-03-31 14:37:19.572404,paid,USD,1899.65
88,738,2026-03-31 14:36:04.042826,paid,USD,1646.54
89,846,2026-03-31 14:35:18.228506,paid,USD,722.94
90,382,2026-03-31 14:36:03.499057,created,USD,3352.38
91,690,2026-03-31 14:32:33.239979,paid,USD,1827.53
92,184,2026-03-31 14:27:39.443998,paid,USD,767.62
93,529,2026-03-31 14:29:06.074720,paid,USD,2397.39
94,977,2026-03-31 14:33:40.958570,cancelled,USD,650.8
95,899,2026-03-31 14:38:00.670141,paid,USD,1188.07
96,290,2026-03-31 14:29:42.168936,paid,USD,271.26
97,319,2026-03-31 14:24:57.826858,paid,USD,2092.39
98,567,2026-03-31 14:36:00.571654,paid,USD,112.58
99,378,2026-03-31 14:38:06.712640,paid,USD,2652.1
100,578,2026-03-31 14:24:40.502937,paid,USD,655.7
101,758,2026-03-31 14:24:19.169166,paid,USD,514.2
102,476,2026-03-31 14:39:11.590041,paid,USD,1737.1
103,996,2026-03-31 14:31:46.353317,paid,USD,1506.64
104,792,2026-03-31 14:31:13.857214,paid,USD,207.54
105,751,2026-03-31 14:29:50.837754,paid,USD,494.55
106,779,2026-03-31 14:32:40.356051,paid,USD,1555.6
107,155,2026-03-31 14:33:47.298615,paid,USD,826.96
108,420,2026-03-31 14:32:32.460599,created,USD,938.96
109,555,2026-03-31 14:30:18.365073,created,USD,325.24
110,860,2026-03-31 14:27:56.789206,paid,USD,336.48
111,10,2026-03-31 14:32:10.733490,paid,USD,1526.36
112,2,2026-03-31 14:30:49.295971,cancelled,USD,1039.24
113,386,2026-03-31 14:31:07.286351,paid,USD,938.51
114,745,2026-03-31 14:39:57.518456,paid,USD,1473.68
115,211,2026-03-31 14:32:00.704352,paid,USD,2406.69
116,244,2026-03-31 14:40:43.134282,paid,USD,1395.88
117,985,2026-03-31 14:38:01.716777,paid,USD,1605.36
118,146,2026-03-31 14:25:47.893876,created,USD,447.43
119,96,2026-03-31 14:25:29.293896,paid,USD,1400.16
120,238,2026-03-31 14:36:00.042613,created,USD,1052.58
121,533,2026-03-31 14:25:31.736003,paid,USD,1128.65
122,918,2026-03-31 14:35:52.886660,paid,USD,1188.63
123,998,2026-03-31 14:38:44.333390,paid,USD,2299.21
124,595,2026-03-31 14:25:19.502810,paid,USD,1243.52
125,137,2026-03-31 14:27:01.653942,created,USD,2073.25
126,404,2026-03-31 14:31:43.224007,paid,USD,1423.35
127,582,2026-03-31 14:36:38.216011,created,USD,287.23
128,679,2026-03-31 14:40:11.595126,created,USD,485.95
129,243,2026-03-31 14:29:50.878624,cancelled,USD,2510.34
130,872,2026-03-31 14:40:19.967493,paid,USD,1466.81
131,821,2026-03-31 14:34:01.728231,paid,USD,880.72
132,852,2026-03-31 14:30:33.309448,paid,USD,1826.88
133,326,2026-03-31 14:25:22.535742,paid,USD,1236.54
134,240,2026-03-31 14:33:29.505935,paid,USD,140.92
135,208,2026-03-31 14:23:55.504713,created,USD,1884.24
136,789,2026-03-31 14:25:57.568871,paid,USD,1616.65
137,160,2026-03-31 14:29:53.184742,paid,USD,2156.77
138,461,2026-03-31 14:41:02.301709,paid,USD,775.68
139,417,2026-03-31 14:28:39.520889,paid,USD,494.02
140,367,2026-03-31 14:31:56.799584,paid,USD,1784.79
141,213,2026-03-31 14:37:26.499997,cancelled,USD,1619.39
142,475,2026-03-31 14:25:45.510990,paid,USD,3111.42
143,123,2026-03-31 14:33:48.794184,paid,USD,618.28
144,827,2026-03-31 14:24:04.543130,created,USD,734.85
145,847,2026-03-31 14:39:17.793163,paid,USD,1409.04
146,618,2026-03-31 14:39:12.181783,paid,USD,948.96
147,856,2026-03-31 14:27:04.827972,created,USD,1415.79
148,152,2026-03-31 14:37:56.655075,paid,USD,1177.14
149,255,2026-03-31 14:31:59.897149,created,USD,1399.47
150,406,2026-03-31 14:25:24.114138,cancelled,USD,2381.52
151,694,2026-03-31 14:29:28.540859,paid,USD,759.75
152,840,2026-03-31 14:38:52.060659,paid,USD,1364.6
153,32,2026-03-31 14:30:42.981167,cancelled,USD,606.85
154,876,2026-03-31 14:33:30.903819,cancelled,USD,1244.85
155,767,2026-03-31 14:33:23.025094,paid,USD,1213.92
156,97,2026-03-31 14:39:24.310271,paid,USD,1793.06
157,824,2026-03-31 14:37:15.857297,paid,USD,359.46
158,125,2026-03-31 14:31:45.245752,paid,USD,2860.3
159,851,2026-03-31 14:36:09.636175,created,USD,818.61
160,228,2026-03-31 14:34:06.166487,paid,USD,831.57
161,844,2026-03-31 14:36:54.907330,paid,USD,745.97
162,703,2026-03-31 14:32:17.144970,paid,USD,1568.14
163,661,2026-03-31 14:31:29.811058,paid,USD,773.66
164,601,2026-03-31 14:31:17.923743,created,USD,942.17
165,833,2026-03-31 14:31:17.000718,paid,USD,2997.95
166,67,2026-03-31 14:38:47.653197,created,USD,2954.76
167,662,2026-03-31 14:29:03.233589,paid,USD,1052.53
168,132,2026-03-31 14:37:35.796551,paid,USD,445.8
169,868,2026-03-31 14:35:09.662498,created,USD,2151.34
170,340,2026-03-31 14:30:34.398593,paid,USD,871.68
171,965,2026-03-31 14:27:23.448066,paid,USD,4651.33
172,173,2026-03-31 14:30:19.028899,paid,USD,327.6
173,444,2026-03-31 14:32:56.274007,cancelled,USD,714.08
174,405,2026-03-31 14:40:26.725852,paid,USD,461.9
175,392,2026-03-31 14:39:13.246618,paid,USD,2261.52
176,177,2026-03-31 14:36:26.785818,paid,USD,1104.91
177,931,2026-03-31 14:34:49.589852,paid,USD,2038.77
178,287,2026-03-31 14:38:47.229859,paid,USD,1488.68
179,153,2026-03-31 14:35:55.785316,paid,USD,1157.0
180,635,2026-03-31 14:33:29.754377,created,USD,1230.92
181,663,2026-03-31 14:37:31.851484,paid,USD,205.71
182,422,2026-03-31 14:35:55.990757,paid,USD,442.12
183,491,2026-03-31 14:33:17.927903,paid,USD,2677.11
184,287,2026-03-31 14:25:25.684140,created,USD,1954.59
185,430,2026-03-31 14:33:16.101049,paid,USD,160.47
186,906,2026-03-31 14:26:39.820872,paid,USD,3605.22
187,256,2026-03-31 14:34:20.200379,paid,USD,2120.79
188,822,2026-03-31 14:33:35.004030,paid,USD,501.21
189,20,2026-03-31 14:24:09.104337,paid,USD,789.71
190,801,2026-03-31 14:33:27.863934,cancelled,USD,892.66
191,492,2026-03-31 14:26:36.547543,paid,USD,1741.1
192,497,2026-03-31 14:31:45.902548,paid,USD,434.36
193,580,2026-03-31 14:39:20.613423,paid,USD,1063.32
194,398,2026-03-31 14:25:21.905831,paid,USD,1041.53
195,27,2026-03-31 14:40:03.076355,paid,USD,954.96
196,225,2026-03-31 14:26:26.122874,paid,USD,645.87
197,831,2026-03-31 14:23:32.491470,created,USD,1657.08
198,60,2026-03-31 14:37:21.697610,paid,USD,1136.38
199,484,2026-03-31 14:27:36.909630,paid,USD,1228.93
200,786,2026-03-31 14:35:54.067118,paid,USD,1321.11
201,239,2026-03-31 14:39:10.668295,paid,USD,1443.91
202,103,2026-03-31 14:31:11.767827,cancelled,USD,1051.34
203,247,2026-03-31 14:37:43.474706,paid,USD,2319.32
204,836,2026-03-31 14:34:07.403207,paid,USD,2706.9
205,755,2026-03-31 14:30:25.941694,paid,USD,2496.42
206,971,2026-03-31 14:24:00.582335,created,USD,806.32
207,867,2026-03-31 14:38:42.932283,paid,USD,1170.89
208,398,2026-03-31 14:23:37.124308,cancelled,USD,797.85
209,860,2026-03-31 14:31:03.978813,paid,USD,149.66
210,178,2026-03-31 14:30:40.131337,cancelled,USD,1711.38
211,607,2026-03-31 14:38:40.420283,paid,USD,533.13
212,756,2026-03-31 14:28:54.773030,paid,USD,709.41
213,936,2026-03-31 14:27:49.752017,paid,USD,1234.34
214,721,2026-03-31 14:25:15.816194,paid,USD,1442.85
215,971,2026-03-31 14:24:59.280324,paid,USD,2305.18
216,146,2026-03-31 14:26:13.608472,paid,USD,679.34
217,193,2026-03-31 14:25:47.556993,paid,USD,1562.79
218,830,2026-03-31 14:27:47.998887,paid,USD,434.14
219,505,2026-03-31 14:24:48.798849,paid,USD,923.34
220,180,2026-03-31 14:28:43.337756,paid,USD,2299.68
221,93,2026-03-31 14:30:31.858549,paid,USD,690.24
222,617,2026-03-31 14:26:14.726332,created,USD,915.04
223,540,2026-03-31 14:34:15.633463,paid,USD,887.71
224,340,2026-03-31 14:29:03.313952,paid,USD,646.24
225,207,2026-03-31 14:23:41.344888,paid,USD,1352.21
226,349,2026-03-31 14:24:15.181925,paid,USD,388.84
227,941,2026-03-31 14:30:13.134888,paid,USD,793.83
228,890,2026-03-31 14:28:57.644781,paid,USD,522.48
229,23,2026-03-31 14:30:37.848637,paid,USD,922.62
230,722,2026-03-31 14:29:02.155214,paid,USD,822.38
231,793,2026-03-31 14:29:57.554211,paid,USD,1619.43
232,539,2026-03-31 14:38:05.960711,paid,USD,382.63
233,984,2026-03-31 14:25:22.643565,paid,USD,19.36
234,722,2026-03-31 14:26:50.764215,created,USD,2016.08
235,406,2026-03-31 14:36:44.304438,cancelled,USD,1966.06
236,345,2026-03-31 14:33:44.911403,paid,USD,2493.44
237,140,2026-03-31 14:32:04.417796,paid,USD,949.24
238,750,2026-03-31 14:36:44.581177,cancelled,USD,732.57
239,811,2026-03-31 14:30:07.852574,cancelled,USD,1395.04
240,499,2026-03-31 14:25:16.287882,paid,USD,1316.32
241,179,2026-03-31 14:24:17.482536,paid,USD,1199.33
242,576,2026-03-31 14:31:34.009416,paid,USD,2214.24
243,952,2026-03-31 14:30:31.642581,paid,USD,134.91
244,366,2026-03-31 14:31:54.905231,paid,USD,447.82
245,604,2026-03-31 14:30:32.093293,paid,USD,2281.41
246,388,2026-03-31 14:27:24.439692,paid,USD,832.26
247,706,2026-03-31 14:39:09.048368,paid,USD,1101.75
248,182,2026-03-31 14:28:02.692518,paid,USD,58.52
249,972,2026-03-31 14:40:32.552663,paid,USD,1734.5
250,587,2026-03-31 14:35:21.105223,paid,USD,1784.5
251,790,2026-03-31 14:27:38.021384,paid,USD,796.18
252,34,2026-03-31 14:33:11.084046,cancelled,USD,428.32
253,326,2026-03-31 14:37:20.031322,paid,USD,2394.2
254,991,2026-03-31 14:28:40.981869,cancelled,USD,895.72
255,655,2026-03-31 14:30:31.285595,paid,USD,1412.4
256,960,2026-03-31 14:24:42.621024,paid,USD,1010.98
257,340,2026-03-31 14:34:38.662914,paid,USD,1828.95
258,244,2026-03-31 14:26:51.733459,paid,USD,639.39
259,328,2026-03-31 14:40:37.344434,paid,USD,1239.72
260,907,2026-03-31 14:29:55.169638,paid,USD,1653.48
261,842,2026-03-31 14:40:56.133413,cancelled,USD,659.1
262,655,2026-03-31 14:37:16.585556,paid,USD,227.59
