payment_id, order_id, payment_date              , payment_method, payment_status, payment_amount
         1,        1, 2026-03-31 13:57:03.453309, paypal        , pending       ,         717.18
         2,        2, 2026-03-31 14:04:08.581718, paypal        , succeeded     ,        2098.86
         3,        3, 2026-03-31 14:03:06.175934, paypal        , succeeded     ,        1585.28
         4,        4, 2026-03-31 13:55:18.716319, credit_card   , succeeded     ,        1619.95
         5,        5, 2026-03-31 13:49:20.143961, paypal        , succeeded     ,         269.1
         6,        6, 2026-03-31 13:51:25.231050, paypal        , succeeded     ,         146.28
         7,        7, 2026-03-31 13:48:58.744611, debit_card    , failed        ,           0.0
         8,        8, 2026-03-31 14:03:18.746615, cash          , succeeded     ,         446.35
         9,        9, 2026-03-31 14:05:47.134268, paypal        , succeeded     ,        2592.96
        10,       10, 2026-03-31 13:50:19.560472, debit_card    , succeeded     ,         242.5
        11,       11, 2026-03-31 13:54:27.988938, paypal        , succeeded     ,         466.36
        12,       12, 2026-03-31 14:06:28.500518, debit_card    , succeeded     ,         293.58
        13,       13, 2026-03-31 13:51:45.470656, credit_card   , pending       ,        1460.41
        14,       14, 2026-03-31 13:49:54.385795, cash          , succeeded     ,        1796.78
        15,       15, 2026-03-31 14:02:27.927776, debit_card    , succeeded     ,        2311.65
        16,       16, 2026-03-31 14:00:40.990266, paypal        , failed        ,           0.0
        17,       17, 2026-03-31 14:00:20.783015, debit_card    , succeeded     ,         914.01
        18,       18, 2026-03-31 14:05:02.712022, paypal        , succeeded     ,        2012.5
        19,       19, 2026-03-31 13:49:50.434616, cash          , succeeded     ,        2019.04
        20,       20, 2026-03-31 14:00:10.136167, debit_card    , succeeded     ,        2258.01
        21,       21, 2026-03-31 14:01:38.439078, credit_card   , succeeded     ,         686.66
        22,       22, 2026-03-31 14:00:41.190562, debit_card    , succeeded     ,        1518.19
        23,       23, 2026-03-31 13:58:09.360632, debit_card    , failed        ,           0.0
        24,       24, 2026-03-31 13:54:07.382379, credit_card   , succeeded     ,        1952.11
        25,       25, 2026-03-31 13:56:02.163043, cash          , succeeded     ,        1652.42
        26,       26, 2026-03-31 14:01:03.340310, cash          , pending       ,        1131.6
        27,       27, 2026-03-31 13:58:45.899262, credit_card   , cancelled     ,           0.0
        28,       28, 2026-03-31 13:54:16.668865, paypal        , failed        ,           0.0
        29,       29, 2026-03-31 14:02:10.113302, debit_card    , succeeded     ,        1710.5
        30,       30, 2026-03-31 14:05:09.969321, credit_card   , succeeded     ,         309.74
        31,       31, 2026-03-31 13:48:56.534412, paypal        , succeeded     ,         573.9
        32,       32, 2026-03-31 13:53:50.163204, paypal        , succeeded     ,        2231.56
        33,       33, 2026-03-31 13:58:18.015074, credit_card   , cancelled     ,           0.0
        34,       34, 2026-03-31 14:05:22.086639, credit_card   , pending       ,         783.53
        35,       35, 2026-03-31 14:01:24.318669, paypal        , failed        ,           0.0
        36,       36, 2026-03-31 13:56:49.884175, debit_card    , failed        ,           0.0
        37,       37, 2026-03-31 13:52:29.544257, debit_card    , cancelled     ,           0.0
        38,       38, 2026-03-31 13:58:35.979314, credit_card   , succeeded     ,         475.1
        39,       39, 2026-03-31 14:02:59.408905, debit_card    , succeeded     ,          89.58
        40,       40, 2026-03-31 14:00:32.200054, credit_card   , succeeded     ,         818.74
        41,       41, 2026-03-31 14:01:21.268643, debit_card    , succeeded     ,        1135.41
        42,       42, 2026-03-31 14:04:46.688888, paypal        , succeeded     ,         184.1
        43,       43, 2026-03-31 14:02:52.088140, credit_card   , succeeded     ,        2356.38
        44,       44, 2026-03-31 13:56:04.866162, debit_card    , succeeded     ,        2571.87
        45,       45, 2026-03-31 13:52:21.079415, credit_card   , failed        ,           0.0
        46,       46, 2026-03-31 13:54:13.653925, credit_card   , succeeded     ,        1194.08
        47,       47, 2026-03-31 13:49:27.927786, credit_card   , succeeded     ,         441.44
        48,       48, 2026-03-31 13:54:49.252359, debit_card    , succeeded     ,         890.01
        49,       49, 2026-03-31 14:01:51.106577, credit_card   , succeeded     ,        1139.97
        50,       50, 2026-03-31 14:02:07.256400, cash          , failed        ,           0.0
